,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[0],-4.98,0.02,-5.0,-4.95,0.0,0.0,1705.0,1248.0,1.0
theta[1],-0.82,0.13,-1.06,-0.56,0.0,0.0,2002.0,1939.0,1.0
