,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[0],0.02,0.85,-1.56,1.72,0.23,0.07,13.0,69.0,1.24
theta[1],0.1,0.86,-1.37,1.69,0.24,0.06,13.0,76.0,1.23
theta[2],-0.14,0.98,-1.84,1.64,0.32,0.1,10.0,34.0,1.36
theta[3],-0.33,1.01,-2.12,1.55,0.32,0.09,10.0,56.0,1.33
theta[4],0.05,1.06,-2.02,2.01,0.33,0.15,11.0,26.0,1.31
theta[5],0.24,0.86,-1.42,1.81,0.18,0.07,23.0,72.0,1.15
theta[6],0.14,1.01,-1.66,1.91,0.31,0.09,11.0,35.0,1.3
theta[7],0.24,1.04,-2.06,1.84,0.26,0.12,16.0,29.0,1.2
theta[8],0.12,0.96,-1.59,2.27,0.16,0.12,36.0,26.0,1.07
theta[9],-0.04,1.06,-2.07,1.85,0.25,0.11,17.0,34.0,1.16
theta[10],-0.24,0.74,-1.64,1.22,0.1,0.06,51.0,116.0,1.05
theta[11],0.12,0.92,-1.74,1.8,0.23,0.1,17.0,28.0,1.19
theta[12],-0.2,0.79,-1.77,1.16,0.16,0.05,23.0,92.0,1.13
theta[13],0.03,0.88,-1.47,1.84,0.23,0.11,16.0,22.0,1.17
theta[14],0.07,1.02,-1.84,1.84,0.27,0.08,15.0,60.0,1.23
theta[15],0.42,0.88,-1.19,1.91,0.28,0.06,11.0,42.0,1.3
theta[16],-0.27,1.07,-2.48,1.64,0.28,0.11,14.0,26.0,1.22
theta[17],-0.16,0.88,-1.76,1.67,0.2,0.08,20.0,68.0,1.16
theta[18],-0.04,1.0,-1.93,1.82,0.28,0.09,13.0,66.0,1.25
theta[19],0.02,1.05,-2.02,1.88,0.35,0.14,9.0,25.0,1.37
theta[20],0.4,0.95,-1.44,2.05,0.2,0.07,23.0,58.0,1.15
theta[21],-0.28,1.1,-2.09,1.76,0.24,0.09,23.0,61.0,1.14
theta[22],0.07,1.14,-2.19,2.13,0.22,0.18,28.0,28.0,1.16
theta[23],-4.75,0.2,-5.0,-4.38,0.01,0.01,544.0,730.0,1.01
theta[24],-0.99,0.65,-2.41,0.2,0.1,0.05,45.0,65.0,1.08
theta[25],-0.24,1.18,-2.42,1.61,0.33,0.22,15.0,19.0,1.2
theta[26],0.04,0.78,-1.27,1.55,0.13,0.05,38.0,65.0,1.08
theta[27],0.13,1.05,-1.87,2.09,0.36,0.1,8.0,38.0,1.41
theta[28],-0.05,0.96,-1.9,1.61,0.18,0.07,31.0,72.0,1.1
theta[29],0.17,0.92,-1.62,1.73,0.2,0.06,20.0,58.0,1.13
theta[30],0.35,0.99,-1.62,2.09,0.15,0.09,44.0,64.0,1.07
theta[31],-0.07,0.9,-1.76,1.5,0.15,0.09,35.0,92.0,1.09
theta[32],0.28,0.99,-1.34,2.2,0.24,0.1,17.0,32.0,1.2
theta[33],0.03,0.93,-1.44,1.8,0.18,0.06,28.0,102.0,1.16
theta[34],0.06,1.04,-1.72,2.12,0.28,0.14,14.0,40.0,1.25
theta[35],0.08,0.97,-1.77,1.83,0.24,0.12,17.0,57.0,1.21
theta[36],0.15,1.23,-1.96,2.27,0.43,0.17,8.0,33.0,1.45
theta[37],-0.42,0.95,-2.13,1.37,0.16,0.08,36.0,71.0,1.09
theta[38],0.03,0.84,-1.44,1.56,0.16,0.05,28.0,112.0,1.1
theta[39],0.18,1.14,-1.7,2.7,0.21,0.14,30.0,36.0,1.11
theta[40],-0.85,0.18,-1.18,-0.52,0.0,0.0,15117.0,21260.0,1.0
theta[41],-0.36,1.12,-2.28,1.51,0.36,0.13,10.0,47.0,1.32
theta[42],-0.12,0.85,-1.88,1.45,0.14,0.08,35.0,60.0,1.08
theta[43],0.17,0.9,-1.47,1.77,0.16,0.07,33.0,89.0,1.11
theta[44],0.24,0.94,-1.48,2.13,0.17,0.1,29.0,33.0,1.07
theta[45],0.02,1.02,-2.0,1.83,0.19,0.1,29.0,55.0,1.11
theta[46],0.3,1.01,-1.45,2.1,0.21,0.09,23.0,38.0,1.14
theta[47],0.2,0.9,-1.28,2.29,0.26,0.18,14.0,16.0,1.25
theta[48],0.51,1.02,-1.33,2.45,0.3,0.08,11.0,60.0,1.26
theta[49],0.28,1.06,-1.78,2.31,0.37,0.16,8.0,26.0,1.46
theta[50],0.17,0.97,-1.69,2.03,0.2,0.09,25.0,56.0,1.12
