,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[0],1.03,0.59,0.4,2.11,0.29,0.14,5.0,20.0,2.44
theta[1],-1.44,0.5,-2.2,-0.73,0.25,0.09,5.0,14.0,3.1
theta[2],-0.37,0.53,-1.12,0.43,0.26,0.09,4.0,21.0,3.19
theta[3],0.29,1.23,-1.21,2.38,0.62,0.29,4.0,14.0,3.72
theta[4],-0.33,1.13,-2.19,0.87,0.57,0.25,4.0,11.0,3.6
theta[5],-0.1,0.85,-1.07,1.29,0.42,0.18,4.0,11.0,3.26
theta[6],0.15,1.06,-1.07,1.68,0.53,0.15,4.0,11.0,3.3
theta[7],-0.73,0.44,-1.47,-0.07,0.22,0.11,4.0,11.0,3.17
theta[8],0.3,0.98,-0.67,2.02,0.49,0.2,5.0,12.0,2.39
theta[9],0.77,1.23,-0.61,2.89,0.62,0.33,4.0,11.0,3.55
theta[10],-0.22,0.94,-1.78,0.89,0.47,0.23,4.0,14.0,3.36
theta[11],0.56,0.97,-1.19,1.53,0.48,0.26,4.0,14.0,3.18
theta[12],-0.21,0.48,-0.86,0.6,0.23,0.1,5.0,14.0,3.06
theta[13],1.1,0.88,-0.29,2.38,0.44,0.2,4.0,11.0,4.25
theta[14],-0.55,0.68,-1.52,0.63,0.34,0.17,4.0,12.0,3.61
theta[15],0.24,0.6,-0.53,1.0,0.3,0.04,5.0,12.0,2.58
theta[16],-0.26,0.67,-1.55,0.38,0.33,0.19,5.0,14.0,2.31
theta[17],0.34,0.86,-0.83,1.75,0.43,0.21,4.0,11.0,3.28
theta[18],0.94,0.38,0.23,1.43,0.18,0.1,5.0,12.0,2.49
theta[19],0.02,1.52,-1.66,1.88,0.76,0.11,5.0,20.0,2.6
theta[20],0.27,1.5,-1.51,2.77,0.75,0.38,4.0,11.0,3.25
theta[21],0.24,0.42,-0.3,0.98,0.21,0.1,4.0,11.0,3.18
theta[22],-0.26,0.77,-1.31,0.95,0.38,0.16,4.0,12.0,3.64
theta[23],0.19,0.59,-0.59,1.17,0.29,0.14,5.0,37.0,2.78
theta[24],1.24,0.6,0.36,2.27,0.3,0.16,4.0,11.0,3.18
theta[25],0.45,0.83,-0.54,1.84,0.41,0.22,4.0,11.0,3.05
theta[26],0.3,0.56,-0.4,1.17,0.28,0.1,4.0,13.0,3.23
theta[27],0.25,0.63,-0.88,0.94,0.31,0.16,5.0,19.0,3.18
theta[28],0.27,1.06,-1.05,1.68,0.53,0.12,5.0,20.0,3.0
theta[29],-0.36,0.77,-1.54,0.81,0.38,0.19,5.0,33.0,2.75
theta[30],-0.19,0.62,-1.16,0.63,0.31,0.13,4.0,22.0,3.24
theta[31],0.37,1.16,-1.53,1.82,0.58,0.28,4.0,13.0,3.59
theta[32],-0.66,0.28,-1.05,-0.07,0.14,0.09,5.0,12.0,2.43
theta[33],1.06,0.68,0.11,2.22,0.34,0.16,4.0,12.0,3.37
theta[34],0.53,0.8,-0.93,1.3,0.4,0.22,5.0,15.0,2.98
theta[35],-0.47,0.62,-1.31,0.45,0.3,0.1,4.0,14.0,3.45
theta[36],0.4,1.26,-0.72,2.63,0.63,0.34,5.0,19.0,2.78
theta[37],0.15,0.58,-0.74,1.08,0.29,0.12,4.0,11.0,4.36
theta[38],1.08,0.72,-0.27,1.76,0.36,0.2,5.0,16.0,2.44
theta[39],0.17,1.17,-0.89,2.24,0.58,0.31,5.0,21.0,2.69
theta[40],0.32,1.05,-1.25,1.64,0.52,0.17,4.0,14.0,3.52
theta[41],0.13,0.53,-0.72,0.96,0.26,0.13,4.0,16.0,3.51
theta[42],-0.22,0.66,-0.99,0.85,0.33,0.14,5.0,21.0,2.83
theta[43],0.47,0.97,-0.95,1.71,0.48,0.13,4.0,12.0,3.51
theta[44],0.0,0.68,-0.82,1.18,0.34,0.17,4.0,12.0,3.06
theta[45],0.16,0.78,-0.75,1.37,0.39,0.14,5.0,23.0,2.9
theta[46],0.01,1.13,-1.06,2.06,0.56,0.32,5.0,14.0,2.87
theta[47],-0.08,1.31,-1.72,1.46,0.66,0.11,4.0,11.0,3.13
theta[48],-0.13,0.7,-1.28,1.01,0.34,0.18,4.0,13.0,3.58
theta[49],-0.18,0.65,-0.91,1.07,0.32,0.18,4.0,11.0,3.3
theta[50],5.0,0.0,4.99,5.0,0.0,0.0,660.0,338.0,1.01
