,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[0],0.0,0.98,-1.87,1.83,0.0,0.01,54439.0,25088.0,1.0
theta[1],0.0,1.0,-1.81,1.94,0.0,0.01,54310.0,24823.0,1.0
theta[2],-1.4,0.96,-3.17,0.41,0.0,0.01,42285.0,19237.0,1.0
theta[3],0.0,1.0,-1.87,1.88,0.0,0.01,60615.0,24533.0,1.0
theta[4],-0.01,0.99,-1.89,1.84,0.0,0.01,60347.0,23799.0,1.0
theta[5],-0.01,1.0,-1.86,1.87,0.0,0.01,57833.0,25348.0,1.0
theta[6],-0.0,1.0,-1.87,1.88,0.0,0.01,54498.0,24871.0,1.0
theta[7],0.0,1.0,-1.92,1.86,0.0,0.01,49557.0,24074.0,1.0
theta[8],4.19,0.51,3.3,5.0,0.0,0.0,27131.0,15673.0,1.0
theta[9],0.0,1.0,-1.86,1.89,0.0,0.01,55975.0,23323.0,1.0
theta[10],-0.0,1.0,-1.88,1.87,0.0,0.01,51600.0,22469.0,1.0
theta[11],-3.66,0.69,-4.99,-2.52,0.0,0.0,30196.0,15651.0,1.0
theta[12],0.0,1.0,-1.92,1.82,0.0,0.01,63403.0,23199.0,1.0
theta[13],-0.0,0.99,-1.9,1.83,0.0,0.01,56010.0,24053.0,1.0
theta[14],-0.0,1.0,-1.82,1.94,0.0,0.01,54097.0,24459.0,1.0
theta[15],0.01,0.99,-1.83,1.92,0.0,0.01,60608.0,25091.0,1.0
theta[16],-1.53,0.88,-3.22,0.09,0.0,0.01,47809.0,21201.0,1.0
theta[17],0.0,1.0,-1.9,1.87,0.0,0.01,59153.0,24384.0,1.0
theta[18],-0.0,0.99,-1.84,1.88,0.0,0.01,53280.0,24589.0,1.0
theta[19],-0.0,1.0,-1.87,1.86,0.0,0.01,54213.0,25212.0,1.0
theta[20],0.0,1.0,-1.8,1.95,0.0,0.01,55712.0,25248.0,1.0
theta[21],-0.01,1.0,-1.84,1.94,0.0,0.01,60611.0,25498.0,1.0
theta[22],0.0,1.0,-1.92,1.87,0.0,0.01,52521.0,24489.0,1.0
theta[23],-0.0,0.99,-1.9,1.84,0.0,0.01,54194.0,23961.0,1.0
theta[24],-0.0,1.0,-1.86,1.92,0.0,0.01,52369.0,24015.0,1.0
theta[25],0.01,1.0,-1.89,1.9,0.0,0.01,50709.0,24003.0,1.0
theta[26],-0.01,0.99,-1.87,1.88,0.0,0.01,57414.0,26183.0,1.0
theta[27],-0.0,1.0,-1.93,1.86,0.0,0.01,60548.0,24765.0,1.0
theta[28],0.0,1.0,-1.82,1.91,0.0,0.01,54972.0,24515.0,1.0
theta[29],-0.0,1.0,-1.9,1.86,0.0,0.01,53328.0,23547.0,1.0
theta[30],0.0,1.0,-1.88,1.87,0.0,0.01,55116.0,24827.0,1.0
theta[31],-0.0,1.0,-1.92,1.85,0.0,0.01,53674.0,24074.0,1.0
theta[32],0.0,1.0,-1.95,1.82,0.0,0.01,54456.0,24588.0,1.0
theta[33],0.0,0.99,-1.79,1.92,0.0,0.01,50737.0,24036.0,1.0
theta[34],-0.0,0.99,-1.82,1.9,0.0,0.01,52022.0,22260.0,1.0
theta[35],0.0,1.0,-1.96,1.8,0.0,0.01,55167.0,24476.0,1.0
theta[36],0.01,0.99,-1.88,1.84,0.0,0.01,53340.0,25033.0,1.0
theta[37],0.0,1.01,-1.9,1.88,0.0,0.01,59045.0,24559.0,1.0
theta[38],-0.01,1.0,-1.89,1.86,0.0,0.01,55404.0,25034.0,1.0
theta[39],0.0,1.01,-1.89,1.91,0.0,0.01,57020.0,25894.0,1.0
theta[40],0.0,1.0,-1.84,1.92,0.0,0.01,52473.0,25205.0,1.0
theta[41],-0.0,1.01,-1.85,1.95,0.0,0.01,55022.0,24450.0,1.0
theta[42],-2.8,0.89,-4.46,-1.12,0.0,0.0,34356.0,14503.0,1.0
theta[43],0.0,1.0,-1.9,1.88,0.0,0.01,58024.0,24146.0,1.0
theta[44],0.0,1.0,-1.87,1.89,0.0,0.01,56200.0,25515.0,1.0
theta[45],0.0,1.0,-1.88,1.88,0.0,0.01,55338.0,25365.0,1.0
theta[46],0.01,0.99,-1.88,1.86,0.0,0.01,55393.0,23798.0,1.0
theta[47],0.0,1.0,-1.91,1.84,0.0,0.01,56387.0,25353.0,1.0
theta[48],-0.0,1.0,-1.88,1.89,0.0,0.01,55287.0,24553.0,1.0
theta[49],-0.0,1.0,-1.87,1.9,0.0,0.01,66075.0,24156.0,1.0
theta[50],-0.0,1.01,-1.88,1.88,0.0,0.01,56238.0,24028.0,1.0
