,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[0],0.02,0.99,-1.86,1.87,0.0,0.01,42073.0,24237.0,1.0
theta[1],0.0,1.0,-1.85,1.9,0.0,0.01,53323.0,25605.0,1.0
theta[2],0.01,0.99,-1.88,1.85,0.0,0.01,48309.0,24954.0,1.0
theta[3],-0.01,1.01,-1.89,1.9,0.0,0.01,52508.0,25104.0,1.0
theta[4],-0.0,0.99,-1.88,1.83,0.0,0.01,54954.0,24452.0,1.0
theta[5],-0.0,0.99,-1.88,1.84,0.0,0.01,51677.0,25509.0,1.0
theta[6],0.01,0.98,-1.85,1.84,0.0,0.01,51172.0,25414.0,1.0
theta[7],0.01,0.99,-1.84,1.88,0.0,0.01,51223.0,24348.0,1.0
theta[8],0.0,0.99,-1.85,1.88,0.0,0.01,50268.0,25524.0,1.0
theta[9],-0.0,1.0,-1.89,1.88,0.0,0.01,51977.0,26343.0,1.0
theta[10],-0.0,0.99,-1.82,1.91,0.0,0.01,48141.0,24105.0,1.0
theta[11],0.0,0.99,-1.82,1.92,0.0,0.01,52520.0,25615.0,1.0
theta[12],-0.0,1.0,-1.88,1.88,0.0,0.01,52384.0,25726.0,1.0
theta[13],-0.01,1.0,-1.82,1.92,0.0,0.01,60030.0,25585.0,1.0
theta[14],0.0,1.0,-1.88,1.9,0.0,0.01,49530.0,25035.0,1.0
theta[15],0.01,1.0,-1.91,1.87,0.0,0.01,45628.0,24818.0,1.0
theta[16],-0.0,0.99,-1.89,1.84,0.0,0.01,49559.0,24532.0,1.0
theta[17],-0.0,1.0,-1.92,1.84,0.0,0.01,56531.0,25842.0,1.0
theta[18],-0.0,0.99,-1.87,1.82,0.0,0.01,55853.0,25305.0,1.0
theta[19],-0.0,1.01,-1.9,1.89,0.0,0.01,63740.0,23717.0,1.0
theta[20],-0.01,1.0,-1.88,1.88,0.0,0.01,57666.0,25591.0,1.0
theta[21],0.0,1.0,-1.84,1.89,0.0,0.01,52858.0,26491.0,1.0
theta[22],-0.01,1.0,-1.84,1.91,0.0,0.01,52666.0,25698.0,1.0
theta[23],0.0,1.01,-1.89,1.93,0.0,0.01,52395.0,25611.0,1.0
theta[24],0.0,1.0,-1.85,1.89,0.0,0.01,48300.0,26774.0,1.0
theta[25],0.0,1.0,-1.9,1.85,0.0,0.01,56150.0,26539.0,1.0
theta[26],-0.02,1.01,-1.93,1.86,0.0,0.01,49543.0,24849.0,1.0
theta[27],-0.01,1.01,-1.93,1.86,0.0,0.01,56159.0,25909.0,1.0
theta[28],-0.0,1.0,-1.87,1.9,0.0,0.01,53492.0,25231.0,1.0
theta[29],-0.0,1.0,-1.92,1.86,0.0,0.01,53672.0,25943.0,1.0
theta[30],-0.0,0.99,-1.89,1.83,0.0,0.01,51637.0,24612.0,1.0
theta[31],-0.0,1.0,-1.87,1.89,0.0,0.01,48339.0,24820.0,1.0
theta[32],0.0,1.0,-1.86,1.9,0.0,0.01,54316.0,24799.0,1.0
theta[33],-0.0,1.0,-1.88,1.86,0.0,0.01,48204.0,25400.0,1.0
theta[34],-0.0,0.99,-1.9,1.83,0.0,0.01,47523.0,24945.0,1.0
theta[35],0.0,1.0,-1.9,1.88,0.0,0.01,51207.0,25194.0,1.0
theta[36],0.0,1.01,-1.87,1.9,0.0,0.01,51055.0,25055.0,1.0
theta[37],0.0,1.0,-1.85,1.94,0.0,0.01,56440.0,25643.0,1.0
theta[38],0.0,1.0,-1.91,1.81,0.0,0.01,50420.0,25529.0,1.0
theta[39],-0.0,1.01,-1.9,1.91,0.0,0.01,49906.0,24703.0,1.0
theta[40],0.0,1.0,-1.86,1.91,0.0,0.01,48446.0,24631.0,1.0
theta[41],0.0,1.0,-1.84,1.89,0.0,0.01,56277.0,26514.0,1.0
theta[42],-0.0,1.0,-1.88,1.87,0.0,0.01,45461.0,26020.0,1.0
theta[43],-0.0,1.01,-1.94,1.84,0.0,0.01,46940.0,25889.0,1.0
theta[44],-0.0,1.0,-1.86,1.91,0.0,0.01,51911.0,22345.0,1.0
theta[45],0.0,1.01,-1.9,1.88,0.0,0.01,55391.0,26414.0,1.0
theta[46],0.0,1.0,-1.85,1.91,0.0,0.01,49155.0,25648.0,1.0
theta[47],-0.0,1.0,-1.85,1.91,0.0,0.01,48053.0,24464.0,1.0
theta[48],0.01,0.99,-1.85,1.86,0.0,0.01,52982.0,26640.0,1.0
theta[49],0.0,0.99,-1.84,1.9,0.0,0.01,52148.0,25991.0,1.0
theta[50],0.33,0.4,-0.41,1.08,0.0,0.0,56229.0,26040.0,1.0
