,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[0],2.18,1.83,-0.86,5.0,0.56,0.02,10.0,45.0,1.29
theta[1],-0.17,1.03,-2.1,1.77,0.0,0.01,53713.0,22128.0,1.0
theta[2],-0.04,1.02,-1.96,1.88,0.0,0.01,79387.0,23484.0,1.0
theta[3],-2.5,4.33,-5.0,5.0,2.16,1.25,7.0,25.0,1.53
theta[4],4.89,0.11,4.7,5.0,0.0,0.0,43634.0,19271.0,1.0
theta[5],2.43,4.16,-4.93,5.0,2.08,1.2,7.0,25.0,1.53
theta[6],0.91,1.49,-1.77,3.79,0.37,0.03,16.0,65.0,1.15
theta[7],0.01,1.01,-1.91,1.87,0.0,0.01,77015.0,24435.0,1.0
theta[8],4.98,0.02,4.95,5.0,0.0,0.0,294.0,752.0,1.01
theta[9],-0.01,1.35,-2.56,2.5,0.37,0.09,14.0,43.0,1.2
theta[10],-0.88,1.31,-3.38,1.57,0.18,0.01,56.0,471.0,1.04
theta[11],4.91,0.1,4.74,5.0,0.02,0.02,46.0,73.0,1.05
theta[12],-0.74,1.42,-3.24,2.07,0.48,0.18,10.0,28.0,1.31
theta[13],1.12,1.4,-1.65,3.6,0.47,0.17,10.0,29.0,1.31
theta[14],-1.19,1.59,-3.92,1.92,0.6,0.25,8.0,26.0,1.41
theta[15],-0.01,1.01,-1.91,1.91,0.0,0.01,69283.0,23747.0,1.0
theta[16],-5.0,0.0,-5.0,-5.0,0.0,0.0,6168.0,20651.0,1.01
theta[17],0.05,1.01,-1.87,1.94,0.01,0.01,32001.0,24323.0,1.0
theta[18],2.4,4.24,-4.99,5.0,2.12,1.22,7.0,26.0,1.53
theta[19],2.5,4.33,-5.0,5.0,2.16,1.25,7.0,26.0,1.53
theta[20],0.02,1.02,-1.89,1.96,0.0,0.01,57505.0,22506.0,1.0
theta[21],-2.49,4.31,-5.0,5.0,2.16,1.25,7.0,25.0,1.55
theta[22],0.94,1.26,-1.42,3.31,0.08,0.01,271.0,18708.0,1.01
theta[23],-0.33,1.47,-3.16,2.33,0.45,0.12,11.0,37.0,1.26
theta[24],0.27,1.41,-2.33,2.95,0.42,0.12,12.0,36.0,1.23
theta[25],0.08,1.51,-2.66,2.97,0.48,0.16,10.0,31.0,1.28
theta[26],-4.91,0.1,-5.0,-4.73,0.01,0.01,117.0,240.0,1.02
theta[27],-4.63,0.45,-5.0,-3.83,0.11,0.12,22.0,32.0,1.11
theta[28],2.0,3.87,-4.86,5.0,1.88,1.02,7.0,26.0,1.52
theta[29],-1.12,1.52,-3.79,1.86,0.53,0.2,9.0,27.0,1.34
theta[30],4.99,0.02,4.96,5.0,0.0,0.0,35.0,50.0,1.07
theta[31],-2.5,4.33,-5.0,5.0,2.16,1.25,7.0,26.0,1.54
theta[32],-2.48,4.14,-5.0,4.91,2.07,1.2,7.0,26.0,1.53
theta[33],2.51,4.19,-4.93,5.0,2.09,1.21,7.0,26.0,1.53
theta[34],-0.44,1.21,-2.73,1.81,0.21,0.01,34.0,207.0,1.07
theta[35],0.6,1.47,-2.33,3.13,0.51,0.18,9.0,27.0,1.34
theta[36],-2.5,4.33,-5.0,5.0,2.16,1.25,7.0,26.0,1.53
theta[37],0.09,1.02,-1.83,2.0,0.0,0.01,64807.0,23904.0,1.0
theta[38],0.65,1.62,-2.14,3.86,0.56,0.2,9.0,29.0,1.34
theta[39],-0.01,1.08,-2.03,2.02,0.13,0.01,67.0,408.0,1.03
theta[40],-0.33,1.06,-2.32,1.66,0.07,0.01,216.0,19199.0,1.01
theta[41],0.49,1.11,-1.59,2.61,0.0,0.01,70015.0,23012.0,1.0
theta[42],0.01,1.1,-2.06,2.05,0.15,0.01,52.0,307.0,1.04
theta[43],-0.15,1.05,-2.16,1.79,0.0,0.01,82730.0,23393.0,1.0
theta[44],0.03,1.02,-1.85,1.99,0.0,0.01,73255.0,22106.0,1.0
theta[45],-0.02,1.24,-2.39,2.27,0.11,0.01,134.0,16021.0,1.02
theta[46],-2.22,2.43,-5.0,2.47,1.1,0.6,7.0,26.0,1.54
theta[47],0.0,5.0,-5.0,5.0,2.5,0.0,6.0,78.0,1.75
theta[48],-2.24,3.88,-5.0,4.82,1.92,1.1,7.0,25.0,1.54
theta[49],0.21,1.02,-1.67,2.16,0.04,0.01,787.0,23837.0,1.01
theta[50],2.45,2.28,-1.95,5.0,1.02,0.56,7.0,25.0,1.52
