,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[0],0.02,1.01,-1.89,1.91,0.0,0.01,73634.0,23156.0,1.0
theta[1],-0.28,1.12,-2.44,1.78,0.0,0.01,68393.0,21974.0,1.0
theta[2],1.96,1.78,-1.08,5.0,0.24,0.01,59.0,416.0,1.04
theta[3],-0.0,1.01,-1.88,1.95,0.0,0.01,73621.0,24583.0,1.0
theta[4],2.44,4.22,-4.96,5.0,2.11,1.22,7.0,25.0,1.54
theta[5],-0.38,1.19,-2.56,1.93,0.0,0.01,56545.0,20811.0,1.0
theta[6],-0.22,1.21,-2.48,2.06,0.01,0.01,37009.0,21398.0,1.0
theta[7],3.65,1.47,0.96,5.0,0.23,0.17,43.0,131.0,1.05
theta[8],-0.67,4.32,-5.0,4.9,1.9,0.26,7.0,81.0,1.52
theta[9],-4.99,0.01,-5.0,-4.96,0.0,0.0,41534.0,20011.0,1.0
theta[10],3.38,3.42,-4.89,5.0,1.32,1.3,15.0,23.0,1.18
theta[11],-0.76,1.94,-4.49,2.72,0.37,0.01,27.0,224.0,1.09
theta[12],-0.45,1.89,-4.09,3.02,0.26,0.01,53.0,495.0,1.04
theta[13],2.42,4.11,-4.93,5.0,1.53,0.89,12.0,48.0,1.24
theta[14],-0.04,1.05,-2.0,1.95,0.0,0.01,75512.0,23549.0,1.0
theta[15],-2.44,4.27,-5.0,4.99,2.13,1.23,7.0,26.0,1.53
theta[16],2.46,4.26,-4.97,5.0,2.13,1.23,7.0,25.0,1.53
theta[17],-4.51,0.6,-5.0,-3.6,0.03,0.02,486.0,9633.0,1.01
theta[18],-0.07,1.05,-2.0,1.9,0.0,0.01,71762.0,24888.0,1.0
theta[19],-0.17,1.32,-2.62,2.32,0.13,0.01,110.0,10761.0,1.02
theta[20],-0.0,1.0,-1.93,1.85,0.0,0.01,67961.0,22976.0,1.0
theta[21],0.0,1.0,-1.87,1.89,0.0,0.01,67689.0,24573.0,1.0
theta[22],0.02,4.88,-4.98,5.0,2.44,0.0,6.0,92.0,1.73
theta[23],3.69,1.38,1.12,5.0,0.18,0.15,75.0,166.0,1.03
theta[24],0.08,1.86,-3.53,3.44,0.14,0.01,187.0,16205.0,1.01
theta[25],-0.53,1.32,-2.98,1.97,0.06,0.01,461.0,22337.0,1.01
theta[26],0.02,1.02,-1.85,1.95,0.0,0.01,71856.0,23641.0,1.0
theta[27],0.02,1.04,-1.96,1.98,0.0,0.01,72759.0,24273.0,1.0
theta[28],2.42,4.24,-4.98,5.0,2.12,1.22,7.0,25.0,1.53
theta[29],-1.83,1.67,-4.96,0.94,0.08,0.01,419.0,16964.0,1.01
theta[30],0.21,1.57,-2.66,3.23,0.2,0.01,62.0,1697.0,1.04
theta[31],-0.08,4.43,-5.0,4.93,1.42,0.01,13.0,251.0,1.21
theta[32],-0.01,1.0,-1.86,1.87,0.0,0.01,74411.0,24261.0,1.0
theta[33],0.04,1.04,-1.95,1.98,0.0,0.01,72341.0,23793.0,1.0
theta[34],-0.34,1.76,-3.58,3.06,0.15,0.01,132.0,14513.0,1.02
theta[35],-0.01,1.0,-1.85,1.88,0.0,0.01,74635.0,25506.0,1.0
theta[36],-0.02,1.05,-2.04,1.94,0.0,0.01,70201.0,23773.0,1.0
theta[37],-4.57,0.62,-5.0,-3.79,0.01,0.04,38763.0,19300.0,1.0
theta[38],-0.04,1.28,-2.46,2.36,0.12,0.01,107.0,20901.0,1.02
theta[39],-0.15,3.11,-4.99,4.54,0.69,0.02,22.0,197.0,1.11
theta[40],-0.21,1.51,-2.97,2.71,0.21,0.01,49.0,426.0,1.05
theta[41],0.0,1.02,-1.96,1.85,0.0,0.01,81280.0,23923.0,1.0
theta[42],1.05,4.66,-4.96,5.0,2.16,0.48,7.0,64.0,1.52
theta[43],0.01,1.02,-1.9,1.93,0.0,0.01,69870.0,24190.0,1.0
theta[44],-4.14,2.43,-5.0,4.41,0.85,1.43,23.0,11.0,1.11
theta[45],-1.92,4.33,-5.0,4.94,1.65,0.72,10.0,59.0,1.3
theta[46],0.0,4.98,-5.0,5.0,2.49,0.0,6.0,92.0,1.73
theta[47],-0.2,1.67,-3.38,2.87,0.19,0.01,80.0,645.0,1.03
theta[48],-0.23,1.13,-2.36,1.86,0.0,0.01,62567.0,24066.0,1.0
theta[49],0.2,1.1,-1.82,2.32,0.0,0.01,72639.0,23358.0,1.0
theta[50],-2.8,0.16,-3.05,-2.51,0.07,0.02,6.0,32.0,1.8
