,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[0],0.01,1.0,-1.85,1.89,0.0,0.01,56721.0,25391.0,1.0
theta[1],0.01,1.01,-1.87,1.94,0.0,0.01,51966.0,24900.0,1.0
theta[2],0.01,1.0,-1.85,1.88,0.0,0.01,52282.0,25474.0,1.0
theta[3],-0.0,1.0,-1.9,1.85,0.0,0.01,58896.0,24837.0,1.0
theta[4],-0.0,1.0,-1.86,1.88,0.0,0.01,49791.0,25773.0,1.0
theta[5],0.0,1.01,-1.87,1.9,0.0,0.01,59582.0,25112.0,1.0
theta[6],0.01,1.01,-1.94,1.87,0.0,0.01,54355.0,24011.0,1.0
theta[7],0.0,1.0,-1.87,1.89,0.0,0.01,57127.0,25415.0,1.0
theta[8],0.01,1.0,-1.85,1.88,0.0,0.01,59222.0,26307.0,1.0
theta[9],0.0,1.01,-1.88,1.93,0.0,0.01,48510.0,24478.0,1.0
theta[10],0.0,1.0,-1.87,1.91,0.0,0.01,61964.0,25671.0,1.0
theta[11],0.0,1.0,-1.89,1.86,0.0,0.01,63249.0,25443.0,1.0
theta[12],0.0,1.0,-1.87,1.89,0.0,0.01,59492.0,24166.0,1.0
theta[13],0.01,1.0,-1.83,1.95,0.0,0.01,55956.0,24804.0,1.0
theta[14],-0.0,0.99,-1.82,1.91,0.0,0.01,52596.0,25457.0,1.0
theta[15],-0.0,1.0,-1.88,1.87,0.0,0.01,55965.0,25219.0,1.0
theta[16],0.01,1.01,-1.9,1.9,0.0,0.01,57436.0,24193.0,1.0
theta[17],-0.0,1.0,-1.9,1.85,0.0,0.01,54266.0,25042.0,1.0
theta[18],-0.0,0.99,-1.81,1.93,0.0,0.01,48180.0,25360.0,1.0
theta[19],0.01,0.99,-1.83,1.89,0.0,0.01,54702.0,24964.0,1.0
theta[20],-0.0,1.0,-1.9,1.86,0.0,0.01,58629.0,25749.0,1.0
theta[21],0.0,1.0,-1.87,1.87,0.0,0.01,52730.0,26064.0,1.0
theta[22],0.0,1.0,-1.89,1.86,0.0,0.01,61090.0,25582.0,1.0
theta[23],1.95,0.84,0.72,3.63,0.37,0.17,7.0,25.0,1.6
theta[24],1.95,1.51,-0.12,4.96,0.68,0.31,6.0,26.0,1.89
theta[25],0.01,0.99,-1.86,1.88,0.0,0.01,55943.0,26839.0,1.0
theta[26],0.0,1.0,-1.88,1.86,0.0,0.01,58178.0,24778.0,1.0
theta[27],0.0,1.0,-1.87,1.88,0.0,0.01,48178.0,24525.0,1.0
theta[28],-0.0,1.0,-1.85,1.88,0.0,0.01,60306.0,25696.0,1.0
theta[29],0.0,0.99,-1.85,1.89,0.0,0.01,55427.0,25186.0,1.0
theta[30],-0.01,1.0,-1.87,1.89,0.0,0.01,59711.0,25581.0,1.0
theta[31],-0.0,0.99,-1.86,1.87,0.0,0.01,59113.0,25775.0,1.0
theta[32],0.0,1.0,-1.85,1.9,0.0,0.01,54669.0,25661.0,1.0
theta[33],0.0,1.0,-1.8,1.94,0.0,0.01,49586.0,25229.0,1.0
theta[34],-0.0,1.0,-1.9,1.85,0.0,0.01,49300.0,25248.0,1.0
theta[35],-0.0,1.0,-1.88,1.88,0.0,0.01,56780.0,24368.0,1.0
theta[36],0.0,0.99,-1.86,1.89,0.0,0.01,61274.0,26012.0,1.0
theta[37],-0.0,1.0,-1.87,1.86,0.0,0.01,64424.0,24133.0,1.0
theta[38],-0.0,1.0,-1.89,1.86,0.0,0.01,50329.0,24940.0,1.0
theta[39],-0.0,0.99,-1.9,1.82,0.0,0.01,53913.0,26302.0,1.0
theta[40],-0.63,2.73,-3.07,3.73,1.36,0.62,5.0,25.0,2.1
theta[41],-0.0,1.0,-1.87,1.91,0.0,0.01,52424.0,24982.0,1.0
theta[42],-0.0,1.0,-1.91,1.84,0.0,0.01,49441.0,24045.0,1.0
theta[43],-0.0,0.99,-1.81,1.91,0.0,0.01,56032.0,24581.0,1.0
theta[44],-0.0,1.0,-1.88,1.9,0.0,0.01,62118.0,24956.0,1.0
theta[45],-0.01,1.0,-1.92,1.84,0.0,0.01,58109.0,25772.0,1.0
theta[46],0.01,1.0,-1.85,1.88,0.0,0.01,59201.0,25241.0,1.0
theta[47],-0.0,1.01,-1.93,1.84,0.0,0.01,49125.0,24783.0,1.0
theta[48],0.0,0.99,-1.88,1.87,0.0,0.01,54879.0,25899.0,1.0
theta[49],0.01,1.01,-1.92,1.9,0.0,0.01,52038.0,25149.0,1.0
theta[50],-0.01,1.0,-1.91,1.86,0.0,0.01,49094.0,24936.0,1.0
