,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[0],-0.01,1.01,-1.91,1.89,0.0,0.01,50743.0,26054.0,1.0
theta[1],0.0,1.0,-1.84,1.92,0.0,0.01,57407.0,26889.0,1.0
theta[2],-0.0,1.0,-1.87,1.87,0.0,0.01,54935.0,25250.0,1.0
theta[3],-0.39,1.16,-2.57,1.8,0.0,0.01,50843.0,23343.0,1.0
theta[4],0.0,1.0,-1.83,1.91,0.0,0.01,44582.0,26333.0,1.0
theta[5],-0.0,1.0,-1.9,1.86,0.0,0.01,51200.0,24911.0,1.0
theta[6],-0.0,1.0,-1.89,1.86,0.0,0.01,50210.0,25037.0,1.0
theta[7],-0.01,1.0,-1.87,1.86,0.0,0.01,53020.0,26522.0,1.0
theta[8],-0.3,1.14,-2.4,1.88,0.0,0.01,51952.0,24192.0,1.0
theta[9],-0.01,1.0,-1.92,1.84,0.0,0.01,56579.0,25091.0,1.0
theta[10],-0.02,1.02,-1.87,1.96,0.0,0.01,48351.0,24360.0,1.0
theta[11],-0.0,0.99,-1.86,1.87,0.0,0.01,45226.0,25549.0,1.0
theta[12],-0.11,1.14,-2.28,2.0,0.0,0.01,51549.0,24498.0,1.0
theta[13],-0.0,1.0,-1.95,1.84,0.0,0.01,59218.0,25051.0,1.0
theta[14],-0.0,0.99,-1.9,1.82,0.0,0.01,58182.0,25242.0,1.0
theta[15],-0.01,1.0,-1.85,1.89,0.0,0.01,60931.0,26335.0,1.0
theta[16],0.0,1.01,-1.82,1.95,0.0,0.01,51707.0,25948.0,1.0
theta[17],0.0,1.0,-1.91,1.89,0.0,0.01,50043.0,25549.0,1.0
theta[18],0.01,0.99,-1.9,1.84,0.0,0.01,52631.0,25550.0,1.0
theta[19],-0.01,1.01,-1.92,1.88,0.0,0.01,52010.0,24863.0,1.0
theta[20],-0.01,1.0,-1.89,1.85,0.0,0.01,50590.0,25858.0,1.0
theta[21],0.4,1.52,-2.48,3.24,0.01,0.01,51752.0,20171.0,1.0
theta[22],0.04,1.02,-1.88,1.97,0.0,0.01,50634.0,26123.0,1.0
theta[23],-0.05,1.03,-1.96,1.91,0.0,0.01,60986.0,25106.0,1.0
theta[24],-0.01,1.0,-1.9,1.87,0.0,0.01,52571.0,25789.0,1.0
theta[25],0.0,1.0,-1.82,1.93,0.0,0.01,56887.0,24883.0,1.0
theta[26],0.0,1.01,-1.92,1.88,0.0,0.01,58212.0,25849.0,1.0
theta[27],0.0,1.0,-1.9,1.84,0.0,0.01,60484.0,25337.0,1.0
theta[28],0.02,1.0,-1.87,1.9,0.0,0.01,47624.0,24569.0,1.0
theta[29],0.0,1.0,-1.91,1.85,0.0,0.01,55715.0,24903.0,1.0
theta[30],0.0,1.0,-1.82,1.91,0.0,0.01,52422.0,25663.0,1.0
theta[31],0.0,1.0,-1.96,1.81,0.0,0.01,56528.0,26610.0,1.0
theta[32],-0.0,0.99,-1.85,1.84,0.0,0.01,54665.0,26721.0,1.0
theta[33],0.0,1.0,-1.88,1.88,0.0,0.01,52926.0,26196.0,1.0
theta[34],-0.0,1.0,-1.83,1.9,0.0,0.01,50835.0,25704.0,1.0
theta[35],0.06,1.18,-2.2,2.22,0.0,0.01,56419.0,23665.0,1.0
theta[36],0.0,1.0,-1.85,1.92,0.0,0.01,49053.0,24156.0,1.0
theta[37],0.0,1.0,-1.84,1.94,0.0,0.01,52768.0,25925.0,1.0
theta[38],0.0,1.0,-1.89,1.87,0.0,0.01,59500.0,25619.0,1.0
theta[39],-0.0,1.01,-1.92,1.9,0.0,0.01,55016.0,26420.0,1.0
theta[40],-0.0,1.01,-1.85,1.93,0.0,0.01,47630.0,25406.0,1.0
theta[41],-0.0,0.99,-1.85,1.88,0.0,0.01,51468.0,24345.0,1.0
theta[42],0.02,1.05,-1.98,1.96,0.0,0.01,49768.0,25834.0,1.0
theta[43],0.0,1.0,-1.89,1.88,0.0,0.01,49398.0,25503.0,1.0
theta[44],-0.0,1.0,-1.87,1.87,0.0,0.01,53792.0,26213.0,1.0
theta[45],-0.0,1.0,-1.88,1.87,0.0,0.01,57710.0,26514.0,1.0
theta[46],0.0,1.0,-1.89,1.87,0.0,0.01,52037.0,25626.0,1.0
theta[47],-0.0,1.01,-1.93,1.89,0.0,0.01,59084.0,23951.0,1.0
theta[48],-0.04,1.03,-1.96,1.9,0.0,0.01,51792.0,25462.0,1.0
theta[49],-0.0,1.0,-1.89,1.87,0.0,0.01,59804.0,25047.0,1.0
theta[50],-1.1,0.14,-1.36,-0.84,0.0,0.0,50334.0,27495.0,1.0
