,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[0],0.08,1.06,-1.11,2.12,0.47,0.2,5.0,4.0,2.21
theta[1],0.5,1.24,-1.4,2.14,0.56,0.2,5.0,23.0,2.15
theta[2],-0.17,0.79,-1.64,1.46,0.33,0.16,6.0,13.0,1.83
theta[3],-0.1,0.68,-1.38,1.34,0.24,0.15,9.0,23.0,1.96
theta[4],-0.2,0.95,-2.06,1.74,0.41,0.24,5.0,21.0,2.02
theta[5],0.39,0.87,-0.9,1.56,0.37,0.1,7.0,102.0,1.57
theta[6],0.48,0.79,-1.18,1.76,0.22,0.17,15.0,15.0,1.45
theta[7],0.26,1.0,-1.84,2.0,0.42,0.2,6.0,17.0,1.87
theta[8],0.47,1.01,-1.25,1.68,0.43,0.13,6.0,42.0,1.67
theta[9],0.66,1.13,-1.26,2.08,0.51,0.22,5.0,16.0,2.11
theta[10],-0.1,0.83,-2.03,1.12,0.26,0.16,11.0,22.0,1.33
theta[11],-0.46,1.01,-1.88,1.49,0.38,0.09,8.0,32.0,1.45
theta[12],-0.34,0.81,-1.61,1.57,0.3,0.17,7.0,18.0,1.87
theta[13],0.08,0.56,-1.39,0.94,0.16,0.1,14.0,38.0,1.76
theta[14],0.14,0.96,-2.08,1.55,0.39,0.22,7.0,19.0,1.8
theta[15],0.17,1.11,-1.18,2.09,0.49,0.21,5.0,4.0,2.3
theta[16],-0.34,0.92,-2.7,1.27,0.35,0.3,8.0,12.0,2.28
theta[17],-0.44,0.69,-1.55,0.91,0.27,0.16,8.0,17.0,1.48
theta[18],0.84,1.1,-1.02,2.15,0.46,0.12,6.0,47.0,1.73
theta[19],0.25,0.98,-1.39,1.48,0.4,0.09,7.0,38.0,1.55
theta[20],0.18,0.71,-1.27,1.62,0.25,0.15,8.0,29.0,1.75
theta[21],-0.04,0.83,-1.61,1.63,0.24,0.15,12.0,19.0,1.63
theta[22],-0.27,1.21,-2.81,1.32,0.46,0.17,7.0,22.0,1.56
theta[23],-0.08,1.1,-2.12,2.16,0.5,0.27,5.0,12.0,2.24
theta[24],0.68,1.12,-0.65,2.62,0.5,0.16,5.0,4.0,2.09
theta[25],-0.37,0.77,-1.98,0.92,0.23,0.28,14.0,12.0,1.89
theta[26],-0.44,0.74,-1.49,0.86,0.29,0.05,9.0,68.0,1.44
theta[27],0.81,0.82,-1.26,2.13,0.3,0.24,8.0,20.0,1.77
theta[28],-0.08,0.74,-1.59,1.16,0.18,0.11,16.0,50.0,1.41
theta[29],0.64,1.38,-1.37,2.6,0.6,0.22,6.0,37.0,1.74
theta[30],0.43,0.86,-0.65,1.83,0.35,0.1,7.0,4.0,1.56
theta[31],-0.48,0.67,-1.92,0.79,0.14,0.12,26.0,27.0,1.56
theta[32],-0.18,1.01,-1.55,1.76,0.42,0.21,7.0,18.0,1.67
theta[33],-0.07,0.7,-1.09,1.43,0.24,0.16,10.0,14.0,1.37
theta[34],-0.01,0.98,-1.98,1.87,0.4,0.32,7.0,17.0,1.84
theta[35],-0.08,1.07,-1.69,1.35,0.5,0.22,5.0,4.0,2.05
theta[36],0.42,0.79,-1.21,1.8,0.24,0.14,11.0,34.0,1.65
theta[37],-0.14,0.79,-1.8,0.99,0.22,0.1,16.0,28.0,1.21
theta[38],0.24,0.78,-1.56,1.26,0.28,0.09,8.0,24.0,1.42
theta[39],-0.03,0.95,-1.76,1.81,0.3,0.2,11.0,19.0,1.87
theta[40],-0.43,0.76,-2.06,1.17,0.21,0.19,13.0,19.0,1.71
theta[41],-0.22,1.0,-1.77,1.7,0.45,0.16,5.0,13.0,2.16
theta[42],0.37,0.75,-1.38,1.41,0.27,0.13,9.0,34.0,1.41
theta[43],0.08,1.21,-1.54,2.0,0.57,0.27,5.0,4.0,2.72
theta[44],0.56,0.68,-0.86,1.39,0.22,0.1,11.0,37.0,1.3
theta[45],0.13,0.81,-1.37,1.14,0.26,0.06,10.0,33.0,1.35
theta[46],-0.2,0.97,-1.47,1.51,0.4,0.17,6.0,4.0,1.69
theta[47],-0.65,1.42,-2.84,1.09,0.67,0.3,5.0,4.0,2.11
theta[48],0.65,0.89,-1.22,2.16,0.36,0.18,7.0,31.0,1.87
theta[49],0.29,1.08,-1.79,1.87,0.46,0.21,6.0,15.0,1.86
theta[50],2.48,4.28,-4.94,5.0,2.14,1.23,7.0,4.0,1.52
