,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[0],0.06,1.0,-1.84,1.9,0.0,0.01,77135.0,24216.0,1.0
theta[1],-0.03,1.0,-1.95,1.82,0.0,0.01,74801.0,23905.0,1.0
theta[2],4.95,0.06,4.85,5.0,0.0,0.0,113.0,1715.0,1.02
theta[3],0.12,1.01,-1.76,2.05,0.0,0.01,70609.0,24113.0,1.0
theta[4],0.01,1.01,-1.89,1.9,0.0,0.01,82670.0,24073.0,1.0
theta[5],0.09,1.01,-1.83,1.96,0.0,0.01,68954.0,21821.0,1.0
theta[6],0.0,1.0,-1.86,1.9,0.0,0.01,78569.0,23686.0,1.0
theta[7],-0.01,0.99,-1.86,1.85,0.0,0.01,80290.0,25120.0,1.0
theta[8],4.99,0.01,4.96,5.0,0.0,0.0,1909.0,18055.0,1.01
theta[9],-0.02,1.01,-1.96,1.85,0.0,0.01,80879.0,23770.0,1.0
theta[10],-0.15,1.02,-2.08,1.75,0.0,0.01,80133.0,23077.0,1.0
theta[11],-4.98,0.02,-5.0,-4.95,0.0,0.0,307.0,18442.0,1.01
theta[12],-0.01,1.01,-1.94,1.86,0.0,0.01,79267.0,24106.0,1.0
theta[13],-0.0,0.99,-1.86,1.87,0.0,0.01,79244.0,24093.0,1.0
theta[14],-0.07,0.99,-1.92,1.8,0.0,0.01,77824.0,23881.0,1.0
theta[15],-0.01,1.0,-1.86,1.86,0.0,0.01,81992.0,23773.0,1.0
theta[16],-2.5,4.32,-5.0,5.0,2.16,1.25,7.0,26.0,1.53
theta[17],-0.0,0.99,-1.92,1.8,0.0,0.01,83531.0,22861.0,1.0
theta[18],0.01,1.0,-1.87,1.87,0.0,0.01,79172.0,24088.0,1.0
theta[19],-0.17,1.0,-2.12,1.68,0.0,0.01,79566.0,23322.0,1.0
theta[20],0.08,1.02,-1.88,1.97,0.0,0.01,69581.0,24241.0,1.0
theta[21],-0.04,1.0,-1.94,1.81,0.0,0.01,83122.0,22980.0,1.0
theta[22],0.0,1.0,-1.9,1.86,0.0,0.01,74097.0,23588.0,1.0
theta[23],-0.0,1.01,-1.89,1.91,0.0,0.01,85339.0,24491.0,1.0
theta[24],0.06,1.01,-1.81,1.98,0.04,0.01,523.0,23785.0,1.01
theta[25],-0.1,1.01,-1.99,1.85,0.0,0.01,36021.0,22857.0,1.0
theta[26],-0.04,1.01,-1.98,1.81,0.02,0.01,2095.0,22680.0,1.0
theta[27],-0.02,1.0,-1.84,1.92,0.0,0.01,79853.0,22261.0,1.0
theta[28],-0.0,1.0,-1.88,1.91,0.0,0.01,75834.0,21407.0,1.0
theta[29],0.02,1.0,-1.79,1.94,0.0,0.01,77595.0,24713.0,1.0
theta[30],0.0,1.01,-1.89,1.92,0.0,0.01,81075.0,24211.0,1.0
theta[31],0.02,0.99,-1.84,1.9,0.0,0.01,82918.0,24509.0,1.0
theta[32],-0.0,1.0,-1.89,1.87,0.0,0.01,85164.0,23179.0,1.0
theta[33],0.01,1.0,-1.84,1.92,0.0,0.01,79234.0,24306.0,1.0
theta[34],-0.0,1.01,-1.9,1.89,0.0,0.01,82850.0,22424.0,1.0
theta[35],0.0,1.0,-1.86,1.9,0.0,0.01,75670.0,24875.0,1.0
theta[36],-0.0,1.0,-1.94,1.83,0.0,0.01,79337.0,24135.0,1.0
theta[37],0.0,0.99,-1.88,1.85,0.0,0.01,77737.0,23686.0,1.0
theta[38],-0.0,0.99,-1.87,1.85,0.0,0.01,80365.0,24081.0,1.0
theta[39],-0.04,1.0,-1.87,1.9,0.0,0.01,77204.0,23822.0,1.0
theta[40],-0.0,1.0,-1.87,1.91,0.0,0.01,80870.0,22765.0,1.0
theta[41],0.06,1.01,-1.82,1.96,0.0,0.01,81887.0,23076.0,1.0
theta[42],-4.98,0.02,-5.0,-4.94,0.0,0.0,37.0,49.0,1.06
theta[43],0.04,1.0,-1.86,1.9,0.0,0.01,81010.0,23879.0,1.0
theta[44],-0.0,0.99,-1.88,1.82,0.0,0.01,82119.0,24806.0,1.0
theta[45],0.0,1.0,-1.93,1.86,0.0,0.01,72778.0,21906.0,1.0
theta[46],-0.0,1.0,-1.82,1.94,0.0,0.01,78874.0,22833.0,1.0
theta[47],0.01,0.99,-1.84,1.84,0.0,0.01,79189.0,24204.0,1.0
theta[48],0.08,1.02,-1.84,2.0,0.0,0.01,79405.0,23448.0,1.0
theta[49],0.08,1.03,-1.84,1.98,0.0,0.01,48516.0,22412.0,1.0
theta[50],0.0,0.99,-1.9,1.84,0.0,0.01,78937.0,24814.0,1.0
