,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[0],0.01,0.99,-1.98,1.75,0.01,0.02,4854.0,2837.0,1.0
theta[1],0.01,1.01,-1.91,1.87,0.01,0.02,5386.0,2922.0,1.0
theta[2],0.03,0.99,-1.83,1.91,0.01,0.02,5375.0,2945.0,1.0
theta[3],-0.0,1.0,-1.86,1.83,0.01,0.02,5132.0,3065.0,1.0
theta[4],-0.03,1.0,-1.94,1.76,0.01,0.02,4822.0,2404.0,1.0
theta[5],-0.01,1.01,-1.88,1.89,0.01,0.02,4966.0,2975.0,1.0
theta[6],0.01,1.01,-1.88,1.94,0.02,0.02,4620.0,2923.0,1.0
theta[7],-0.01,1.02,-2.01,1.86,0.02,0.02,4823.0,2615.0,1.0
theta[8],-0.01,1.03,-1.83,1.9,0.02,0.02,4511.0,2552.0,1.0
theta[9],-0.03,1.03,-1.96,1.98,0.01,0.02,5100.0,2431.0,1.0
theta[10],0.01,1.01,-1.83,1.94,0.02,0.02,4883.0,2146.0,1.0
theta[11],0.02,0.96,-1.72,1.83,0.01,0.02,4706.0,2970.0,1.0
theta[12],-0.01,1.0,-1.76,1.96,0.02,0.02,4674.0,2762.0,1.0
theta[13],0.01,1.02,-1.8,2.0,0.01,0.02,5316.0,2786.0,1.0
theta[14],-0.03,0.99,-1.84,1.93,0.01,0.02,5055.0,2751.0,1.0
theta[15],-0.02,1.0,-1.85,1.85,0.02,0.02,4309.0,2662.0,1.0
theta[16],-0.01,1.01,-2.04,1.76,0.01,0.02,5708.0,2850.0,1.0
theta[17],0.0,1.01,-1.84,2.0,0.01,0.02,5478.0,3165.0,1.0
theta[18],-0.0,1.02,-1.97,1.84,0.01,0.02,5869.0,3044.0,1.0
theta[19],0.01,0.99,-1.92,1.76,0.02,0.02,4402.0,2848.0,1.0
theta[20],-0.01,1.0,-1.87,1.83,0.02,0.02,4631.0,2711.0,1.0
theta[21],-0.0,1.01,-1.81,1.97,0.02,0.02,4681.0,2795.0,1.0
theta[22],0.02,1.0,-1.92,1.83,0.01,0.02,5303.0,2905.0,1.0
theta[23],-0.01,0.99,-1.9,1.78,0.01,0.02,5680.0,3054.0,1.0
theta[24],-0.0,1.0,-1.92,1.87,0.02,0.02,4393.0,2565.0,1.0
theta[25],-0.0,1.0,-1.87,1.8,0.02,0.02,4757.0,2660.0,1.0
theta[26],-0.02,0.99,-1.83,1.95,0.02,0.02,4600.0,2773.0,1.0
theta[27],0.0,0.98,-1.79,1.86,0.01,0.02,5311.0,3127.0,1.0
theta[28],-0.02,1.0,-1.94,1.77,0.02,0.02,4563.0,2844.0,1.0
theta[29],-0.01,1.04,-1.92,1.88,0.01,0.02,5764.0,3059.0,1.0
theta[30],-0.0,0.98,-1.92,1.81,0.01,0.02,4715.0,3129.0,1.0
theta[31],0.01,1.01,-1.83,1.94,0.01,0.02,5499.0,2712.0,1.0
theta[32],-0.01,1.02,-1.9,1.92,0.02,0.02,3929.0,2858.0,1.0
theta[33],0.0,1.01,-1.79,2.02,0.02,0.02,4181.0,2749.0,1.0
theta[34],-0.03,1.04,-2.04,1.85,0.02,0.02,4651.0,2508.0,1.0
theta[35],0.0,1.01,-1.97,1.78,0.02,0.02,3964.0,3032.0,1.0
theta[36],-0.0,1.01,-1.84,1.97,0.01,0.02,5042.0,2839.0,1.0
theta[37],-0.02,0.99,-1.95,1.82,0.01,0.02,5219.0,2548.0,1.0
theta[38],-0.02,0.99,-1.92,1.8,0.01,0.02,5389.0,3047.0,1.0
theta[39],-0.01,1.0,-1.86,1.83,0.01,0.02,5247.0,2617.0,1.0
theta[40],-0.0,1.01,-1.96,1.77,0.01,0.02,5489.0,2746.0,1.0
theta[41],-0.0,0.98,-1.75,2.0,0.01,0.02,4986.0,2784.0,1.0
theta[42],0.02,1.03,-1.92,1.94,0.02,0.02,4752.0,2843.0,1.0
theta[43],0.0,1.0,-1.81,1.95,0.02,0.02,4604.0,2784.0,1.0
theta[44],-0.0,1.0,-1.8,1.98,0.01,0.02,4983.0,2486.0,1.0
theta[45],0.02,1.0,-1.75,1.96,0.02,0.02,4675.0,2965.0,1.0
theta[46],-0.0,0.99,-1.74,1.96,0.01,0.02,5728.0,2730.0,1.0
theta[47],0.01,0.98,-1.92,1.76,0.01,0.02,5142.0,2633.0,1.0
theta[48],0.02,0.99,-1.86,1.89,0.01,0.02,4908.0,2675.0,1.0
theta[49],0.0,0.99,-1.83,1.87,0.02,0.02,3898.0,3017.0,1.0
theta[50],-0.19,0.1,-0.37,-0.0,0.0,0.0,4987.0,3166.0,1.0
