,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[0],-0.0,1.0,-1.92,1.81,0.0,0.01,49946.0,25802.0,1.0
theta[1],0.02,0.99,-1.84,1.88,0.0,0.01,46400.0,24712.0,1.0
theta[2],-0.01,1.0,-1.86,1.91,0.0,0.01,45558.0,25629.0,1.0
theta[3],-0.0,1.0,-1.91,1.86,0.0,0.01,53688.0,25824.0,1.0
theta[4],0.06,1.0,-1.77,1.98,0.0,0.01,49285.0,25505.0,1.0
theta[5],-0.01,0.99,-1.85,1.88,0.0,0.01,53641.0,25754.0,1.0
theta[6],-0.03,1.0,-1.88,1.86,0.0,0.01,53691.0,25171.0,1.0
theta[7],-0.03,0.99,-1.86,1.84,0.0,0.01,51022.0,26851.0,1.0
theta[8],0.03,1.0,-1.82,1.91,0.0,0.0,45555.0,26097.0,1.0
theta[9],0.35,0.97,-1.47,2.17,0.0,0.01,48403.0,24740.0,1.0
theta[10],0.05,1.0,-1.84,1.93,0.0,0.01,50565.0,24676.0,1.0
theta[11],0.0,0.99,-1.89,1.85,0.0,0.01,45750.0,26350.0,1.0
theta[12],0.0,1.0,-1.89,1.88,0.0,0.01,58745.0,25183.0,1.0
theta[13],0.02,0.99,-1.83,1.91,0.0,0.01,48811.0,24836.0,1.0
theta[14],0.0,1.0,-1.96,1.8,0.0,0.01,48808.0,26570.0,1.0
theta[15],0.13,1.0,-1.8,1.97,0.0,0.01,49094.0,26044.0,1.0
theta[16],-0.04,1.0,-1.9,1.82,0.0,0.01,45887.0,25234.0,1.0
theta[17],-0.0,1.0,-1.88,1.88,0.0,0.01,44710.0,26004.0,1.0
theta[18],0.0,1.01,-1.93,1.88,0.0,0.01,43063.0,25229.0,1.0
theta[19],-0.01,0.99,-1.85,1.84,0.0,0.01,49939.0,25972.0,1.0
theta[20],-0.0,1.0,-1.92,1.88,0.0,0.01,45747.0,25312.0,1.0
theta[21],-0.01,0.99,-1.87,1.85,0.0,0.01,50762.0,25306.0,1.0
theta[22],-0.06,1.0,-1.93,1.79,0.0,0.01,49696.0,26032.0,1.0
theta[23],-0.0,1.0,-1.87,1.87,0.0,0.01,45830.0,25915.0,1.0
theta[24],0.02,1.0,-1.79,1.95,0.0,0.01,46605.0,25374.0,1.0
theta[25],0.01,0.99,-1.81,1.91,0.0,0.01,53455.0,26248.0,1.0
theta[26],-0.0,1.0,-1.84,1.9,0.0,0.01,48032.0,25743.0,1.0
theta[27],-0.01,1.0,-1.92,1.85,0.0,0.01,47727.0,25638.0,1.0
theta[28],0.08,1.0,-1.82,1.94,0.0,0.01,53864.0,24005.0,1.0
theta[29],0.01,1.01,-1.9,1.87,0.0,0.01,51912.0,24880.0,1.0
theta[30],0.01,1.0,-1.91,1.88,0.0,0.01,48425.0,25088.0,1.0
theta[31],-0.04,1.0,-1.91,1.84,0.0,0.01,44289.0,23986.0,1.0
theta[32],0.0,0.99,-1.84,1.87,0.0,0.0,48029.0,27502.0,1.0
theta[33],0.0,1.0,-1.9,1.84,0.0,0.01,46285.0,25103.0,1.0
theta[34],0.01,1.0,-1.86,1.9,0.0,0.01,51228.0,26387.0,1.0
theta[35],-0.0,1.0,-1.86,1.87,0.0,0.01,46624.0,25655.0,1.0
theta[36],0.0,1.0,-1.85,1.93,0.0,0.01,53393.0,26633.0,1.0
theta[37],0.02,0.99,-1.84,1.88,0.0,0.01,49185.0,25932.0,1.0
theta[38],0.0,1.0,-1.88,1.87,0.0,0.01,42024.0,24393.0,1.0
theta[39],0.0,1.0,-1.88,1.89,0.0,0.01,46438.0,25232.0,1.0
theta[40],0.01,1.0,-1.88,1.87,0.0,0.01,44538.0,24416.0,1.0
theta[41],-0.0,1.0,-1.89,1.88,0.0,0.01,47948.0,25537.0,1.0
theta[42],0.08,0.99,-1.8,1.89,0.0,0.01,41207.0,26263.0,1.0
theta[43],0.01,1.01,-1.94,1.85,0.0,0.01,44593.0,25321.0,1.0
theta[44],0.02,1.01,-1.85,1.94,0.0,0.01,47858.0,26175.0,1.0
theta[45],0.08,1.0,-1.83,1.92,0.0,0.01,50778.0,24830.0,1.0
theta[46],-0.0,0.98,-1.87,1.84,0.0,0.01,49092.0,25191.0,1.0
theta[47],-0.02,0.99,-1.9,1.86,0.0,0.01,47773.0,25494.0,1.0
theta[48],0.02,1.0,-1.84,1.91,0.0,0.01,48346.0,25058.0,1.0
theta[49],-0.01,1.0,-1.87,1.9,0.0,0.01,51737.0,25109.0,1.0
theta[50],-2.48,0.05,-2.57,-2.38,0.0,0.0,49070.0,27613.0,1.0
