,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[0],-0.11,1.15,-2.26,2.02,0.19,0.1,36.0,59.0,1.09
theta[1],-0.02,0.66,-1.33,1.11,0.08,0.04,74.0,198.0,1.07
theta[2],1.46,0.96,-0.26,3.23,0.29,0.08,11.0,49.0,1.3
theta[3],0.14,1.08,-1.63,2.21,0.34,0.08,10.0,33.0,1.34
theta[4],-0.28,1.03,-1.89,1.82,0.18,0.14,35.0,34.0,1.11
theta[5],0.1,0.98,-1.64,1.91,0.24,0.07,18.0,82.0,1.19
theta[6],-0.04,1.04,-1.86,1.93,0.24,0.09,18.0,45.0,1.16
theta[7],-0.18,1.11,-2.24,1.8,0.33,0.09,12.0,82.0,1.28
theta[8],-4.88,0.13,-5.0,-4.65,0.0,0.01,1352.0,871.0,1.0
theta[9],-0.4,1.1,-2.34,1.69,0.26,0.12,19.0,49.0,1.16
theta[10],0.05,0.89,-1.52,1.78,0.23,0.06,15.0,68.0,1.2
theta[11],4.61,0.33,3.99,5.0,0.03,0.02,206.0,230.0,1.02
theta[12],0.45,0.83,-1.11,1.97,0.15,0.07,30.0,55.0,1.09
theta[13],0.18,0.83,-1.29,1.62,0.18,0.04,21.0,157.0,1.14
theta[14],-0.07,1.05,-1.97,2.07,0.32,0.14,11.0,27.0,1.33
theta[15],0.07,1.17,-1.85,2.18,0.42,0.07,8.0,118.0,1.43
theta[16],4.1,0.53,3.21,5.0,0.06,0.03,78.0,181.0,1.04
theta[17],0.14,0.88,-1.39,1.76,0.16,0.06,30.0,77.0,1.11
theta[18],-0.22,1.12,-2.22,1.87,0.34,0.09,11.0,59.0,1.3
theta[19],-0.2,1.07,-2.06,1.72,0.29,0.1,15.0,83.0,1.2
theta[20],0.15,1.09,-1.77,2.08,0.27,0.11,15.0,40.0,1.21
theta[21],0.19,0.84,-1.41,1.68,0.15,0.06,30.0,81.0,1.13
theta[22],0.2,1.01,-1.65,2.02,0.29,0.09,13.0,54.0,1.23
theta[23],0.17,0.96,-1.64,1.99,0.22,0.13,19.0,28.0,1.16
theta[24],0.14,0.87,-1.68,1.72,0.14,0.08,40.0,53.0,1.08
theta[25],0.02,0.98,-1.83,1.88,0.25,0.09,14.0,60.0,1.19
theta[26],-0.15,0.9,-1.8,1.52,0.13,0.07,48.0,101.0,1.07
theta[27],0.08,0.86,-1.74,1.6,0.2,0.09,18.0,39.0,1.17
theta[28],0.01,0.95,-1.93,1.6,0.3,0.06,11.0,88.0,1.3
theta[29],-0.11,0.84,-1.78,1.37,0.13,0.06,45.0,77.0,1.04
theta[30],0.24,1.01,-1.4,2.14,0.24,0.08,18.0,56.0,1.19
theta[31],0.3,0.82,-1.34,1.76,0.24,0.08,12.0,43.0,1.26
theta[32],-0.28,1.02,-2.3,1.53,0.26,0.1,15.0,38.0,1.22
theta[33],-0.06,0.84,-1.66,1.57,0.21,0.11,17.0,51.0,1.17
theta[34],-0.02,0.92,-1.57,1.75,0.18,0.12,25.0,46.0,1.15
theta[35],-0.25,0.86,-1.86,1.33,0.14,0.06,42.0,100.0,1.11
theta[36],-0.36,0.87,-2.1,1.21,0.22,0.08,15.0,87.0,1.2
theta[37],-0.21,0.99,-2.09,1.57,0.23,0.08,19.0,53.0,1.15
theta[38],-0.2,1.09,-2.18,1.74,0.3,0.1,13.0,75.0,1.27
theta[39],0.04,0.9,-1.57,1.62,0.26,0.06,13.0,118.0,1.26
theta[40],-0.26,1.08,-2.18,1.72,0.24,0.08,21.0,68.0,1.13
theta[41],-0.12,0.98,-1.91,1.62,0.28,0.06,13.0,86.0,1.25
theta[42],3.45,0.78,2.2,4.9,0.13,0.04,35.0,150.0,1.09
theta[43],-0.05,0.92,-1.83,1.68,0.24,0.08,14.0,59.0,1.27
theta[44],-0.34,1.06,-2.23,1.53,0.25,0.1,19.0,23.0,1.16
theta[45],0.24,0.92,-1.74,1.83,0.3,0.14,10.0,18.0,1.34
theta[46],0.03,0.93,-1.62,1.94,0.15,0.08,42.0,82.0,1.07
theta[47],-0.52,0.98,-2.1,1.63,0.27,0.08,12.0,37.0,1.27
theta[48],-0.08,1.0,-1.93,1.68,0.16,0.11,39.0,65.0,1.07
theta[49],-0.05,0.82,-1.52,1.57,0.16,0.07,27.0,68.0,1.11
theta[50],-0.17,1.11,-2.21,1.66,0.31,0.08,14.0,75.0,1.24
