,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[0],0.0,1.01,-1.9,1.9,0.0,0.01,54878.0,25161.0,1.0
theta[1],-0.0,1.0,-1.9,1.86,0.0,0.01,55417.0,25001.0,1.0
theta[2],0.01,1.01,-1.87,1.92,0.0,0.01,55548.0,26006.0,1.0
theta[3],0.02,1.0,-1.86,1.87,0.0,0.01,57285.0,27102.0,1.0
theta[4],0.0,1.0,-1.84,1.89,0.0,0.01,57726.0,24481.0,1.0
theta[5],-0.0,1.0,-1.88,1.86,0.0,0.01,55907.0,25404.0,1.0
theta[6],0.0,1.0,-1.9,1.86,0.0,0.01,50794.0,25897.0,1.0
theta[7],0.0,1.0,-1.9,1.85,0.0,0.01,57002.0,25278.0,1.0
theta[8],0.0,0.99,-1.84,1.89,0.0,0.01,46344.0,25428.0,1.0
theta[9],0.0,1.0,-1.87,1.86,0.0,0.01,61145.0,25937.0,1.0
theta[10],-0.0,1.0,-1.88,1.85,0.0,0.01,56137.0,26089.0,1.0
theta[11],-0.0,1.0,-1.84,1.9,0.0,0.01,47457.0,25591.0,1.0
theta[12],-0.0,1.0,-1.81,1.94,0.0,0.01,51018.0,24880.0,1.0
theta[13],-0.0,1.0,-1.91,1.86,0.0,0.01,53564.0,24678.0,1.0
theta[14],-0.0,1.0,-1.86,1.92,0.0,0.01,59942.0,26067.0,1.0
theta[15],0.0,1.0,-1.9,1.82,0.0,0.01,57046.0,26535.0,1.0
theta[16],0.0,1.0,-1.87,1.86,0.0,0.01,58161.0,26195.0,1.0
theta[17],-0.0,1.0,-1.83,1.91,0.0,0.01,52387.0,26639.0,1.0
theta[18],-0.0,1.0,-1.88,1.85,0.0,0.01,55035.0,25891.0,1.0
theta[19],0.0,1.0,-1.84,1.91,0.0,0.01,57329.0,25851.0,1.0
theta[20],0.0,1.0,-1.88,1.89,0.0,0.01,54584.0,26495.0,1.0
theta[21],0.01,1.0,-1.86,1.86,0.0,0.01,55552.0,26287.0,1.0
theta[22],-0.01,1.01,-1.96,1.84,0.0,0.01,53069.0,25668.0,1.0
theta[23],-0.0,1.0,-1.88,1.88,0.0,0.01,59384.0,26550.0,1.0
theta[24],-0.0,1.0,-1.88,1.87,0.0,0.01,52415.0,24762.0,1.0
theta[25],0.0,1.0,-1.88,1.88,0.0,0.01,55399.0,25750.0,1.0
theta[26],-0.01,1.01,-1.91,1.88,0.0,0.01,53216.0,26086.0,1.0
theta[27],-0.0,1.01,-1.94,1.84,0.0,0.01,52494.0,25729.0,1.0
theta[28],0.0,1.01,-1.91,1.87,0.0,0.01,56612.0,25684.0,1.0
theta[29],0.01,1.01,-1.89,1.93,0.0,0.01,52867.0,25789.0,1.0
theta[30],0.0,1.0,-1.91,1.86,0.0,0.01,59074.0,23235.0,1.0
theta[31],-0.0,1.0,-1.89,1.86,0.0,0.01,50345.0,26107.0,1.0
theta[32],0.0,1.0,-1.84,1.93,0.0,0.01,54473.0,25129.0,1.0
theta[33],-0.0,1.0,-1.87,1.89,0.0,0.01,58297.0,24731.0,1.0
theta[34],0.01,1.0,-1.85,1.88,0.0,0.01,54947.0,26874.0,1.0
theta[35],0.01,1.0,-1.82,1.92,0.0,0.01,58355.0,25466.0,1.0
theta[36],0.0,1.0,-1.86,1.86,0.0,0.01,56649.0,27715.0,1.0
theta[37],-0.0,1.0,-1.91,1.84,0.0,0.01,56180.0,24783.0,1.0
theta[38],-0.0,1.0,-1.85,1.86,0.0,0.01,51725.0,25035.0,1.0
theta[39],0.0,1.0,-1.89,1.86,0.0,0.01,59868.0,25047.0,1.0
theta[40],-0.01,1.0,-1.91,1.86,0.0,0.01,45344.0,25612.0,1.0
theta[41],0.0,1.0,-1.87,1.9,0.0,0.01,53050.0,25515.0,1.0
theta[42],0.01,1.0,-1.87,1.86,0.0,0.01,46046.0,25474.0,1.0
theta[43],-0.0,1.01,-1.94,1.86,0.0,0.01,63497.0,26357.0,1.0
theta[44],0.01,0.99,-1.9,1.85,0.0,0.01,45840.0,25631.0,1.0
theta[45],-0.0,0.99,-1.84,1.9,0.0,0.01,55709.0,25880.0,1.0
theta[46],0.01,0.99,-1.84,1.89,0.0,0.01,58167.0,25185.0,1.0
theta[47],-0.0,0.99,-1.88,1.87,0.0,0.01,54095.0,26264.0,1.0
theta[48],-0.01,1.0,-1.94,1.84,0.0,0.01,56568.0,25879.0,1.0
theta[49],0.0,1.0,-1.92,1.83,0.0,0.01,57989.0,24715.0,1.0
theta[50],-1.09,0.15,-1.38,-0.8,0.0,0.0,59356.0,26357.0,1.0
